word1,word2
flails,switches
flint,opals
flintlocks,slingshots
floods,puddles
flowers,generals
flowers,kings
flowers,knights
flowers,knives
flowers,lances
flowers,lords
flowers,monarchs
flowers,pharaohs
flowers,princes
flowers,soldiers
flowers,sultans
flowers,swords
flowers,warriors
flowers,zinnias
flutes,kazoos
flutes,tambourines
footmen,marshals
fortresses,leantos
fortresses,tents
foxes,rabbits
foxes,thimbles
friars,tanners
frigates,punts
frogs,storks
fuming,mad
gales,sparks
galleons,kayaks
garnets,slate
gazelles,leopards
gelatin,lard
generals,knitters
generals,lace
generals,riflemen
gerbils,pythons
glaciers,raindrops
glades,taigas
glovers,hosiers
gnats,gorillas
gnats,hippopotamuses
gnats,mammoths
gnats,rhinoceroses
goblets,puddles
gorges,puddles
gorillas,sparrows
gravediggers,kings
gravel,moonstone
gravel,onyx
gravel,sapphires
gravel,spinel
gravel,turquoise
grooms,maharajas
grooms,nawabs
grooms,seneschals
groundskeeper,superintendent
gudgeons,pike
haberdashers,mariners
hailstones,icebergs
hairpins,sabres
hairpins,tiaras
halberds,knives
hammers,lace
happily,rudely
hares,lynxes
harpooners,knitters
harps,kazoos
harps,tambourines
harpsichords,kazoos
hauberks,jerkins
hawks,thimbles
hawks,voles
helmets,nightcaps
helmets,ribbons
herons,sticklebacks
herrings,megalodons
herrings,seals
herrings,sharks
hesitate,readjust
hillocks,mountains
hippopotamuses,mice
horses,loons
horses,mirrors
horses,thimbles
hovels,palaces
hovels,temples
hurricanes,petals
hurricanes,zephyrs
huts,monasteries
icebergs,snowflakes
jacket,phone
jaguars,rabbits
kaisers,peasants
kale,vegetables
kazoos,lutes
kazoos,organs
kazoos,pianos
kazoos,saxophones
kazoos,trumpets
kazoos,violas
kazoos,violins
khans,weavers
kings,mendicants
knights,serfs
knights,spectacles
knights,thimbles
krill,whales
labourers,rajahs
labourers,viscounts
lace,twine
lakes,oceans
lances,scarves
lances,spears
lankier,lanky
lanterns,quasars
lanterns,ravens
laundresses,queens
lemmings,wolverines
leopards,rabbits
leviathans,minnows
lightning,moths
limestone,tourmalines
linen,satin
lions,needles
lions,rabbits
lions,teacups
litter,newts
lizards,tyrannosaurs
looms,trebuchets
lords,mendicants
lords,peasants
lords,shepherds
maelstroms,ripples
maids,queens
majors,spinners
mansions,pigsties
mansions,shanties
mantles,rags
maples,mushrooms
marbles,orbs
marooned,missing
martens,squirrels
masculine,undignified
mastodons,moths
mattocks,trowels
mausoleums,shacks
meadows,steppes
meadows,tundras
mesas,thickets
meteors,raindrops
mice,owls
mice,tigers
mice,wolves
millers,priests
millstones,pebbles
minnows,orcas
minnows,ospreys
minnows,plesiosaurs
moles,polecats
monarchs,serfs
monks,tanners
monks,telescopes
moose,voles
mosses,yews
moths,pulsars
moths,seas
moths,suns
mountains,petals
mud,platinum
mudslides,puddles
mushrooms,oaks
mushrooms,pines
muskets,slingshots
muslin,velvet
nebulae,sparks
nectar,swill
needles,ravens
needles,sledgehammers
needles,tigers
nobles,paupers
nurses,patriarchs
oboes,tambourines
oceans,ponds
organs,whistles
owls,pennies
owls,thimbles
paintbrushes,sailors
palaces,pigsties
paupers,princes
pearls,silt
peasants,sultans
pebbles,volcanoes
pelicans,sardines
pennies,wolves
peridot,silt
petals,tornadoes
pharaohs,potters
pharaohs,scullions
pianos,triangles
pickaxes,pins
pikes,slingshots
pinnacles,vales
pins,tigers
pins,walls
planets,sparks
priests,tanners
priors,scullions
pterodactyls,sparrows
puddles,straits
puffs,squalls
puppies,tigers
pyramids,sandcastles
queens,serfs
rabbits,stoats
rabbits,wolves
rags,tapestries
rapiers,thimbles
rats,sharks
redwoods,toadstools
rhinoceroses,voles
ribbons,sharks
ribbons,shields
ripples,waterspouts
rivers,seeds
rubies,sandstone
rustles,tempests
sackcloth,velvet
sardines,whales
saxophones,whistles
scepters,twigs
scissors,scythes
seamstresses,stevedores
seeds,sharks
serfs,tsars
serfs,viscounts
shale,topazes
sharks,teacups
showers,typhoons
shrews,weasels
silk,tweed
slings,trebuchets
soldiers,spools
sparks,stars
sparks,thunderbolts
sparrows,wolves
spears,tablecloths
spoons,wolves
squalls,typhoons
stools,thrones
sultans,vagabonds
tablecloths,tigers
tambourines,violins
teacups,wolves
therapy,vacations
thimbles,towers
thimbles,wolves
thunderclaps,whispers
trombones,whistles
trumpets,whistles
tsars,vagrants
tubas,whistles
vocabulary,vowels
